title,description,categories
بیایید خدا را بندگی کنیم,«بیایید خدا را بندگی کنیم» نوشته حسین درگاهی، فشرده‌ای از دستورات دینی را که دانستن آن برای هر مسلمانی واجب است، در کنارهم گردآورده. دستورات مربوط به فروع دین و احکام و آداب دینی که در رساله‌های مراجع هم آمده‌اند، در این کتاب به صورت خلاصه و چکیده در دسترس شما قرار دارند.,کلیات اسلام
چشم در برابر چشم,"چشم در برابر چشم نمایشنامه‌ای تک پرده‌ای از غلامحسین ساعدی، نویسنده و نمایشنامه‌نویس معاصر ایرانی است.
موضوع اصلی این نمایشنامه اجرایِ وارونه عدالت است و به حال و هوایی کمدی دارد. جوانی برای دزدی به خانه پیرزنی می‌رودو در تاریکی میله‌ی دوک نخ ریسی پیرزن به چشم جوا  فرو می‌رود و یکی از چشم‌های دزد کور می‌شود. دزد برای شکایت سراغ حاکم شهر می‌رود و میله را مقصر می‌داند.
شخصیت‌‌های نمایش: حاکم، جلاد، مرد جوان، پیرزن، سقط‌فروش، آهنگر، میرشکار، نوازنده.
این نمایشنامه را هرمز هدایت به روی صحنه برده است. 
نمایشنامه چشم در برابر چشم را به چه کسانی پیشنهاد می‌کنیم
با توجه به کوتاه بودن نمایشنامه و کمدی بودن آن، تمام کسانی که به ادبیات علاقه‌مند هستند می‌توانند از خواندنش لذت ببرند.",داستان کوتاه
من قهرمانم؛ غیرت وایکینگی (جلد دوم),"دخیل بودن در مسیر داستان، تعیین مسیر آن در پایان و تغییر نهایت اتفاقات پیش آمده در یک کتاب، همه و همه تأثیر مهمی در علاقه کودکان به خواندن این سری از کتاب‌ها ایجاد می‌کند.
شما یکی از فرماندهان ارشد نیروی هوایی دفاع کهکشانی هستید و تا امروز در صدها مأموریت خطرناک برای این مجموعه شرکت داشته‌اید. از طرف دیگر در چند جنگ علیه دشمنان فضایی که به اشکال مختلف درصدد نابودی زمین بوده‌اند انجام وظیفه کرده‌اید.... با هر انتخابی که می‌کنید، به قسمت متفاوتی از کتاب می‌روید.",داستان کودک و نوجوانان
تحفه‌ای برای کودک و نوجوان,"«تحفه‌ای برای کودک و نوجوان» نوشته شیخ محمد عظیم حاصل‌پوری است. این کتاب ۴۰ نصیحت از انبیای الهی (ع)، صحابه بزرگوار (رض) و لقمان حکیم (رحمه الله) برای کودکان و نوجوانان جمع‌آوری کرده است.
در بخشی از کتاب می‌خوانیم:
سیده‌ام سلیم (رضی) همیشه تلاش می‌کرد تا فرزندش کاری که باعث خوشحالی حضرت رسول (ص) می‌شود را انجام دهد و از کاری که باعث‌اندوه و ناراحتی آن حضرت شود پرهیز کند.
حضرت ثابت از سیدنا انس (رض) روایت می‌کند: که من در حال بازی کردن با بچها بودم که نبی اکرم (ص) به ما سلام کرد و من را برای انجام کاری فرستاد، واین باعث شد که من کمی‌دیرتر نزد مادرم برسم و مادرم از من پرسید:
امروز چرا دیر کردی؟
من گفتم: رسول خدا (ص) مرا برای انجام کاری فرستاده بود که دیر شد.
مادرم پرسید که چه کاری بود؟
گفتم: مادر جان این‌یک راز است!
مادرم: پس راز رسول خدا (ص) را به کسی نگو
حضرت ثابت (رض) پرسید: آن چه رازی بود؟
سیدنا انس (رض) می‌فرماید:
ای ثابت! اگر سر راز رسول خدا (ص) را می‌خواستم بگویم، پس آن را به مادرم می‌گفتم.",داستان کودک و نوجوانان
۱۳ داستان کوتاه از سیزده نفر,کتاب گویا«۱۳ داستان کوتاه از سیزده نفر» شامل ۱۳ داستان کوتاه با مضامین متفاوت از سیزده نویسنده معاصر است که هر کدام با صدای خودشان این داستان‌ها را برای ما روایت می‌‌‌کنند. داستان‌هایی از علیرضا محمودی‌ایرانمهر، علی کرمی، حافظ خیاوی، نازنین جودت، محسن حکیم معانی،  مهام میقانی، حسین مهکام، لیلا قاسمی، یاسر نوروزی،  مصطفی انصافی، ایمان احمدزاده خلیفه، ایمان فراصت و تانیا یزدانی.,داستان کوتاه
فراتر از مهارت‌های منشی‌گری,"کتاب «فراتر از مهارت‌های منشی‌گریِ» آرش نصیر زاده، هر آن‌چه که یک منشی حرفه‌ای باید بداند را به او خواهدگفت.
شما به عنوان یک منشی خوب باید: 
فعال باشید و هوشیارانه فکر و عمل کنید. با آرامش کار کنید و برای انجام دادن هر کاری از قدرت ذهنی و بصیرت خود بهره‌گیرید. شما می‌توانید کارها را هر بار بهتر و با روشی متفاوت به انجام برسانید. بنابراین، فکر کنید... بنویسید... تایپ کنید... تغییر دهید... دوباره فکر کنید... دوباره بنویسید و دوباره.... و هیچ گاه شنیدن را متوقف نکنید و... 
این کتاب را با دقت تا انتها بخوانید.",مدیریت و کسب و کار
چگونه مشکلات تولیدی، خدماتی و بازرگانی خود را حل کنیم؟,"«چگونه مشکلات تولیدی، خدماتی و بازرگانی خود را حل کنیم؟» اثری از محمدرضا شهریاری درباره مشکلاتی است که در واحدهای تولیدی، بازرگانی و خدماتی روی می‌دهد. 
این اثر به بررسی روشی سیستماتیک برای حل این نوع مشکلات پرداخته است.
 مهمترین اقدام در فرایند حل مساله / مشکل، طی کردن مراحل آن به گونه ای است که افراد را به حل مشکل نزدیک سازد.در این کتاب تلاش شده برای درک بهتر مشکل، آنالیز فرایند آن، شناسایی اقدامات اصلاحی مورد نیاز و استاندارد کردن سیستم جهت پیشگیری از وقوع مجدد مشکل به افراد فعال در حوزه صنعت و تجارت کمک شود.",مدیریت و کسب و کار
پردیسا تولدت مبارک,"«پردیسا تولدت مبارک» نوشته زهره طاهرخانی(-۱۳۶۱)، نویسنده معاصر ایرانی است.
در بخشی از کتاب می‌خوانیم:
-داری به چی فکر می‌کنی؟
پسر جوانی که روبروی توفان نشسته و در مبل چرمی قهوه‌ای سوخته فرو رفته بود، با بیست سالگی‌خودش کمترین تفاوتی نداشت: موهای پر‌پشت سیاه، بینی پهن، چشمان سیاه و براق، پوست سبزه‌ی پر از خال‌های ریز و درشت و هیکل عضلانی متوسط. انگار در یک آینه جادویی، زمان به عقب برگشته و او خودش را تماشا می‌کرد که بیست سال جوانتر شده.
پسر جوان، با صدای گرفته‌ای گفت: به اینکه...
صدایش را صاف کرد و ادامه داد: به هیچی!
توفان پرسید: اینجا وقتتو چطوری می‌گذرونی؟
پسر جوان روی مبل جابه‌جا شد. گیج و مبهوت به نظر می‌رسید. گفت: کار می‌کنم. تو کارگاه.
توفان از روی صندلی‌اش بلند شد و کنار پنجره‌ای که پرده نارنجی ضخیمی آن را می‌پوشاند، ایستاد. داشت پسر جوان را ورنداز می‌کرد. گفت: چه جور کارگاهی؟
- کارگاه چوب. رو چوب برش می‌زنیم و یه چیزایی می‌سازیم. مث همون کلبه!
انگشتش را در هوا بلند کرد و کلبه‌ی چوبی داخل قفسه‌ی کتابخانه را نشان داد.
توفان چرخید و نگاهی به آن انداخت و گفت: این دیگه چه آشغالیه؟!
بعد انگشت‌هایش را بین موهای پرپشت و جوگندمی شقیقه‌اش فرو برد و گفت: ورزش می‌کنی؟
پسر جوان، سر تکان داد.
توفان پرسید: چه ورزشی؟
پسر جوان بهت‌زده به او خیره شد.
توفان گفت: از این دنیا چی می‌خوای؟ آرزوت چیه؟",داستان کوتاه
جان‌‌های افسرده,"«جان‌های افسرده» اثری از فیلیپ کلودل (۱۹۶۲-) رمان‌نویس، محقق و گزارشگر است.  رمان «جان‌های افسرده» محصول سال ۲۰۰۳ کارگاه نویسندگی کلودل است که جایزهٔ ادبی رنودو را در همان سال و جایزهٔ بزرگ خوانندگان مجلهٔ «ال» را بعد از آن برایش به همراه آورد. این کتاب تاکنون به ۲۲ زبان ترجمه شده و فیلمی هم با حضور بازیگران سرشناس فرانسوی از آن ساخته شده است.
اصلی‌ترین خط داستانی در «جان‌های افسرده»، ماجرای جست‌جوی یک افسر پلیس درباره راز قتل دختر جوانی است که در گیرودار جنگ جهانی اول در شهری کوچک و مرزی، به طرزی مشکوک کشته شده است. شهر در آتش جنگ می‌سوزد و فرانسه رو به نابودی است. کسی به دنبال کشف حقیقت نیست و اگر مقامات مربوط، بیچاره‌ای را به عنوان متهم بیابند با محاکمه او ماجرا را خاتمه می‌دهند که همین‌طور هم می‌شود. افسری فراری را به عنوان قاتل دختر شکنجه و محاکمه می‌کنند اما پلیس که راوی داستان هم هست قانع نمی‌شود و همچنان ذهنش درگیر ماجرای دختر است. 
کلودل در این رمان با خرده‌روایت‌های تکان‌دهنده از جنگ و فلاکت مردم در کنار خط اصلی داستان و باشیوه روایتی که درآن زمان می‌شکند و توالی منطقی وجود ندارد، ذهن خواننده را کاملا درگیر می‌کند. شخصیت‌های این اثر خراشی به عواطف خواننده وارد می کنند  که تا مدتها اثر ان ماندگار خواهد بود.  از ویژگی‌های بارز کتاب، موضوع و روایتگری ان است. موضوع که حول و حوش چند فاجعه از جمله جنگ جهانی اول شکل گرفته است و شیوه روایت‌گری راوی که مانند خبرنگاری پرتجربه و نکته‌دان زندگی خودش و کسانی را که همراهش این راه پر درد و رنج را طی می‌کنند شرح می‌دهد و برای این کار از جمله‌هایی خیلی ساده، گاه خیلی کوتاه، گاه خیلی گزنده و گاه بسیار دردناک استفاده می‌کند.",رمان
آدام و اولین,"«آدام و اِوِلین» رمانی نوشته اینگو شولتسه، نویسنده آلمانی است. شولتسه متولد۱۹۶۲ درسدن است. از ۱۹۸۱ تا ۱۹۸۳ در ارتش خلق آلمان شرقی سابق (NVA)، خدمت کرد که این دوران تأثیر زیادی بر او گذاشت و عزمش را برای نویسنده شدن جزم کرد. او جوایز ادبی زیادی از جمله جایزه نمایشگاه کتاب لایپزیگ ۲۰۰۷، ساموئل بوگومیل- لینده ۲۰۰۸، جایزه‌ی ادبی ماینتس ۲۰۱۱ ، انجمن نویسندگان آلمان ۲۰۱۲ را در کارنامه دارد. او همچنین دوبار نامزد دریافت جایزه‌ی بهترین اثر ادبی سال: ۲۰۰۶ برای زندگی‌های جدید و ۲۰۰۸ برای آدام و اِوِلین شده‌است. در سال ۱۹۹۸، نیویورکر، شولتسه را به عنوان یکی از پنج نویسنده‌ جوان مهم اروپایی معرفی کرد. 
داستان آدام و اولین در تابستان و پاییز ۱۹۸۹ می‌گذرد. درست زمان فروپاشی دیوار برلین. زوج جوان بی‌توجه به سیاست، درگیر زندگی پر مشغله‌ خود هستند. آدام خیاط زنانه و اولین گارسون است تا این که روزی اولین به خانه می‌آید و آدام را در شرایط نامناسبی غافلگیر می کند، پس خانه را ترک کرده و با دو دوست راهی مجارستان می‌شود. آدام نیز آنها را تعقیب می‌کند: 
ناگهان سروکله‌شان پیدا شد. خانم‌ها، ملبس به پیراهن، شلوار، دامن، بلوز و پالتوهایشان، از هیچ ظاهر شدند. گاهی احساسش این بود که آن‌ها از سفیدی بیرون می‌آیند، یا سروکله‌شان ناگهان پیدا می‌شود، انگار بالاخره سطح را سوراخ می‌کنند و خودشان را نشان می‌دهند. فقط کافی بود تشتک را کمی با محلول مخصوص ظهور فیلم پر کند، لازم نبود کار بیشتری انجام دهد. اول هیچ، بعد کمی، و ناگهان ظاهر می‌شدند. با این حال لحظه‌ی بین این «هیچ و کمی» قابل‌درک نبود، انگار بین‌شان اصلاً فاصله‌ی زمانی وجود نداشته باشد.
کاغذ بزرگ، داخل تشتک لغزید. آدام آن را با گیره‌ی پلاستیکی برگرداند، بیشتر در تشتک فرو برد، چندین‌بار پشت‌ورو کرد، به سفیدی خیره شد - و بعد با دقت تمام نظاره‌گر خانمی با پیراهنی بلند شد که یک شانه را آزاد گذاشته و هیکل فربه‌اش را پیچ‌وتاب داده بود. گویی معجزه‌ای رخ داده باشد، گویی روحی مجبور شده باشد جسمش را آشکار کند.",رمان
فردی فرفره؛ صدمین روز مدرسه (جلد سیزدهم),"فردی پسر هفت ساله بازیگوش و دوست‌داشتنی‌ای است که هر بار ماجراهای بامزه‌ای برایش اتفاق می‌افتد. کتاب «فردی فرفره؛ صدمین روز مدرسه» از جلد «سیزدهم» این مجموعه است. «ابی کلاین» ماجراهای فردی  را به صورت یک مجموعه 22 جلدی نوشته است و «جان مک کینلی» با تصویرسازی‌های جذابش این مجموعه را تبدیل به کتاب‌هایی جذاب برای کودکان و نوجوان کرده است. کتاب‌های این مجموعه را «مازیار موسوی» ترجمه و نشر قدیانی آنها را منتشر کرده است. 
خواندن این کتاب هم برای کودکان و نوجوانان و هم بزرگسالانی که به رمان‌های نوجوانان علاقه‌مند هستند، جذاب است.",داستان کودک و نوجوانان
شوهر عزیزم,"جویس‌کرول اوتس(      - 1938)، نویسنده امریکایی برنده جایزه ادبی پولیتزر است.
در یکی از داستان‌های این مجموعه داستان کوتاه به نام «خودکشی در باشگاه بدن‌سازی»  می‌خوانیم:
«حتما گاهی به فکر خودکشی به دست پلیس می‌افتید، خب بالاخره این‌جا جرسی است! یک آدم آزرده‌خاطر دو-سه‌تا گروگان می‌گیرد، برای راحتی خودش معمولا این گروگان‌ها از افراد خانواده‌ی خودش است، چون معمولا این‌ها توی خانه دوروبرش‌اند، گروگان‌گیر شماره‌ی پلیس را می‌گیرد و یک «مورد گروگان‌گیری» را گزارش می‌دهد، درحالی‌که خیابان‌های اطراف خانه به محاصره‌ی افراد پلیس درمی‌آید و ماموران ویژه‌ی گروه ضربت مسلح به اسلحه‌های قوی دورتادور خانه هستند و هلیکوپترهای سمج اخبار تلویزیونی مثل مگس بالای خانه پرواز می‌کنند، آدمی که قصد خودکشی دارد، احتمالا با افسر پلیس تلفنی مذاکره می‌کند یا شاید فقط خودش را درِ خانه‌اش نشان بدهد و با چیزی که شبیه اسلحه است -مثل تفنگ اسباب‌بازی، چکش، چاقوی مخصوص برش نان-یا در یک مورد اخیر، شانه، حرکات تهدید‌آمیزی انجام دهد. 
شاید انگشتش را به سمت پلیس نشانه برود و درحالی‌که سرش در تیررس تک‌تیراندازها است، داد بزند: «بنگ، بنگ!» سی افسر پلیس، هر کدام پنج تیر، پس حداقل صدوپنجاه گلوله به سمت فردی که قصد خودکشی دارد شلیک می‌کنند که هر کدام می‌تواند کشنده باشد. 
یا فرض کنیم که فرد آزرده‌خاطر گروگانی دم دستش نباشدیا خانه‌یی نداشته باشد، در این صورت می‌توان خیلی راحت با افزایش سرعت ماشین در بزرگراه و عدم توجه به هشدار پلیس برای کنارزدن ماشین و توقف کنار جاده خودکشی کرد، در این حالت افسرهای پلیس نیوجرسی به هیجان می‌آیند و به تعقیب ماشین می‌پردازند و در این حالت می‌توان هر شی‌یی شبیه اسلحه مثل تفنگ اسباب‌بازی، چکش و غیره را بیرون پنجره حرکت داد تا آن‌ها شروع به تیراندازی کنند».",داستان کوتاه
شغل شریف,"محمد علی جعفری(   -۱۳۶۶)، نویسنده است.
در بخشی از داستان‌های کوتاه کتاب به نام «زنی در سایه» می‌خوانیم:
«سعید از پای ماشین تا اتاق نشیمن را تندتر از همیشه و البته خوشحال‌تر از هر روز پیمود. یک شاخه گل رز آبی هلندی را، که از توی دسته‌گل یکی از مریض‌هایش بیرون کشیده بود، بو کشید و سحر را صدا زد. صدا توی خانه‌ای که انگار خالی از سکنه بود، پیچید. مثل کمیتۀ جست‌و‌جوی مفقودان شروع به تفحص کرد؛ هال، پذیرایی، اتاق خواب، و سرویس‌های بهداشتی. نجیبانه گمان می‌کرد حتماً سحر برایش برنامه غافلگیرکننده‌ای دارد. رفت توی اتاق خواب. چقدر همه چیز به نظرش تر و تمیز می‌آمد. بوی خوش اسپری سحر خستگی‌اش را حسابی کم کرد. «گلی خانم کجایی؟» و زد زیر آواز. 
ـ تو چه باشی، چه نباشی پیشم بمونی یا جدا شی
ـ من واسه‌ت عوض نمی‌شم. من واسه‌ت عوض نمی‌شم
سعید نه فقط مانند هر موجود نر دیگر برای جذب مادیانش، بلکه مثل فرهیخته‌ای سرخوش و عاشق برای گلی خانمش می‌خواند. هیچ کس واقعاً در خانه نبود و تنها صدایی که به گوش می‌رسید، صدای موتور یخچال بود. 
 «هر جا باشد پیدایش می‌شود. » این تنها جمله‌ای بود که وقتی با یک تکه نان ته بشقاب کشک و بادمجانش را پاک کرد، مدام از سر و کول ذهنش بالا می‌رفت. «کشک و بادمجان سحر این قدر خوشمزه نبودا؛ قبلاً ها!» 
نیم ساعت اول را خوش‌خیالانه منتظر ماند. سعی کرد خونسرد باشد. حتی چند نفس عمیق هم کشید تا روحیه‌اش را از دست ندهد یا شاید به خودش روحیه بدهد. اما همۀ نکات روان‌شناسانه بعد از نیم ساعت رنگ باختند. کم کم ردّ پای دلهره داشت پیدا می‌شد.»",داستان کوتاه
چراغ جادوی پدرپولدار,"«چراغ جادوی پدرپولدار» نوشته رابرت کیوساکی( -۱۹۴۷)، سخنران انگیزشی و کارشناس کسب و کار است.
«چراغ جادوی پدرپولدار» چکیده‌ای از چند کتاب رابرت کیوساکی است و هر فصل این کتاب، برگزیده و فشرده‌ای از هر کدام از این کتاب‌ها است.
در بخشی از کتاب می‌خوانیم:
«من هم یکی از همان شاگردان تنبل بودم که نه خوب می‌توانستم بخوانم و نه بنویسم. هر بار که می‌خواستم برای امتحانی درس بخوانم و مطالعه کنم، حفظ کردن چند خط کوتاه از کتاب یک شبانه‌روز طول می‌کشید. آخر هم لحظه امتحان دست و پا شکسته چند کلمه‌ای از آنچه که در ته ذهنم باقی مانده بود، می‌نوشتم و جملاتی بی‌معنا را تحویل معلمم می‌دادم. 
اگر جزوه‌های درسی‌ام را می‌خواندید، محال بود متوجه شوید که مربوط به کدام درس هستند. آنقدر در هم و نامفهوم بودند که هر گاه می‌خواستم از روی آنها درس بخوانم، احساس می‌کردم که در حال تجزیه و تحلیل یک متن فلسفی هستم. 
اما امروز دریافته‌ام که حتی شاگردان تنبل مدارس هم می‌توانند در زمینه‌های دیگری نبوغ خود را نشان دهند. من که قادر نبودم چند خط از کتاب‌های درسی‌ام را حفظ کنم، امروز معادلات ریاضیاتی و قوانین مالی بسیاری را به خاطر می‌سپارم. من که نمی‌توانستم چند خطی از زبان خود بنویسم، مقالات و یادداشت‌های بسیاری در روزنامه‌ها به چاپ رسانده‌ام و حتی تاکنون صدها کتاب نوشته‌ام و چاپ کرده‌ام. کتاب‌هایی که در همه جای دنیا در دسترس هستند و من به تک‌تک آنها افتخار می‌کنم. 
آرزوی ثروتمند شدن تنها آرزوی مشترک میان مردم است. تحقق این آرزو در گروی داشتن اطلاعات و آگاهی است. اطلاعاتی که به شما بگوید چگونه می‌توانید سیستم تجاری خود را طراحی کنید».",مدیریت و کسب و کار
شاید در دنیایی دیگر,"«شاید در دنیایی دیگر» رمانی از  تیلور جنکینزرید نویسنده جوان آمریکایی ساکن لس‌‌آنجلس است. 
از جکینزرید تا کنون داستان‌های «عشق صادقانه»، «گسست همیشگی»، «بعد از این که انجام دادم» و «هفت همسر برای اِوِلین هوگو» منتشر شده‌اند که همگی مضامین عاشقانه و انسانی دارند و از پرفروش‌های آمازون بوده‌اند. 
هانا دختر بیست‌ونه ساله‌ای که هنوز نمی‌داند از زندگی چه می‌خواهد، پس از تجربه شش شغل ناموفق و بدتر از آن، شکست در رابطه‌اش، به زادگاهش لس‌آنجلس بازمی‌گردد. دوست قدیمی‌اش گبی را می‌بیند، با دوست‌پسر دوره دبیرستانش ایتان، رابطه‌ای دوباره را آغاز می‌کند و این دیدار‌ها خود آغاز یک دوراهی جدیددر زندگی او می‌شوند.
«روی صندلی عقب ماشین نشسته بودم و بیرون را تماشا می‌کردم. همان‌طورکه داشتیم داخل شهر می‌گشتیم تا توانستم هوای تازه تنفس کردم. اگر کسی مرا از بیرون ماشین می‌دید فکر می‌کرد مثل سگ‌ها شده‌ام، ولی برایم مهم نبود. خیلی خوشحال بودم که دیگر در بیمارستان نیستم. از این‌که دوباره می‌توانستم در دنیای واقعی زندگی کنم در پوست خودم نمی‌گنجیدم. باز هم می‌توانستم خورشید را بدون هیچ فیلتر یا پنجره‌ای ببینم. هر چیزی در این دنیا عطر مخصوصی دارد. دنیای بیرون فقط بوی گل و علف‌های تازه زده‌شده نمی‌داد، بوی غذاها و حتی بوی سیری که از رستوران‌های ایتالیایی به مشام می‌رسید هم برایم لذت‌بخش بود. عاشق تمام‌شان بودم.»
تیلور جنکینزرید در این اثر خواننده را با عشق و سرنوشت آشنا می‌کند و او را به فکر فرومی‌برد و سپس نشان می‌دهد که چه اتفاقاتی ممکن است رخ بدهد تا دنیایی به دنیای دیگر بدل شود.",رمان
کی؛ ترفندهای علمی زمان‌سنجی عالی,"«کِی؛ ترفندهای زمان‌سنجی عالی» اثر دیگری از دنیل اچ. پینگ نویسنده کتاب‌های «انگیزه -Drive» و « TO SELL IS HUMAN» است.
همه می‌دانند که زمان‌سنجی چیز مهمی است، اما چیز زیادی درباره خود این پدیده و ترفندهای استفاده از آن نمی‌دانند. زندگی ما زنجیره‌ای از تصمیم‌های پی‌درپی در مورد «کِی» است: کی یک کسب‌وکار را شروع کنیم؟ کی یک کلاس را در برنامه‌مان بگذاریم؟ و یا کی رابطه عاطفی‌مان با یک فرد دیگر را جدی تلقی کنیم؟ با این حال، ما این تصمیم‌ها را بر اساس شهود و حدس‌هایمان می‌گیریم.
دنیل اچ. پینگ، ایده‌پرداز مطرح حوزه موفقیت و کسب‌وکار، ترفندهای علمی زمان‌سنجی را شناسایی کرده تا به ما کمک کند که در کار و زندگی موفق‌تر باشیم. 
پینگ در کتاب «کی؟» که از پرفروش‌ترین‌های نیویورک تایمز و آمازون هم بوده است، با بهره‌گیری از یک مجموعه غنی از تحقیقات روان‌شناسی، زیست‌شناسی و اقتصادی نشان می‌دهد که چگونه می‌توانیم از این الگوهای پنهان جدید استفاده کنیم تا جدول زمانی ایده‌آل خود را ایجاد کنیم. چگونه می‌توانیم یک شروع متزلزل را تبدیل به یک شروع تازه کنیم؟ چرا آوازخوانی به همراه دیگران به اندازه ورزش کردن برای شما مفید است؟ زمان ایده‌آل برای استعفا از یک شغل، تغییر حرفه و یا ازدواج کردن کی است؟
کتاب «کی»  یک روایت شگفت‌انگیز و خواندنی است که در مورد نحوه ایجاد یک زندگی غنی‌تر و پربارتر نکات جذابی را مطرح می‌کند. دنیل اچ. پینک در این اثر، آخرین تحقیقات و اطلاعات زمان‌سنجی را با داستان‌هایی جذاب و آموزنده و توصیه‌هایی عملی و کاربردی ترکیب کرده، تا به خوانندگان بینشی عمیق و متقاعدکننده بدهد که بتوانند زندگی غنی و دوست‌داشتنی‌تری را تجربه کنند.",مدیریت و کسب و کار
۷ عادت مردم بسیار تأثیرگذار (خلاصه کتاب),"کتاب گویای«۷ عادت مردم تأثیرگذار: پندهای تأثیرگذار به منظور ایجاد تغییر فردی» نوشته استفان کاوی، یکی از الهام بخش‌ترین و تأثیرگذارترین کتاب‌هایی است که تاکنون نوشته شده و ۲۵سال است که خوانندگان بسیاری را اسیر خود کرده است.
این کتاب زندگی بسیاری از مدیران ارشد و رؤسا، تحصیل کرده‌ها و والدین و به طور خلاصه زندگی میلیون‌ها انسان در سنین و شغل‌های مختلف را دگرگون ساخته است.
این اثر که برای اولین بار سال ۱۹۸۹منتشر شد، یک خودآموز کسب و کار است که بیش از یک میلیون کپی از آن فروخته شده است. 
استفان کاوی ایده the character ethic را ترویج می‌دهد: تنظیم ارزش‌های فرد با اصولی که جهانی و ابدی نامیده می‌شوند. کاوی مستقیماً ارزش‌ها و اصول را با هم تلفیق می‌کند، او اصول را به عنوان قوانین طبیعی برونی و ارزش‌ها را ذهنی و درونی می‌بیند. استفان کاوی ادعا می‌کند که ارزش‌ها رفتار اشخاص را کنترل می‌کنند، اما اصول و قواعد نهایتاً تأثیرات و پیامدها را تعیین می‌کند. کاوی تدریس خود را به صورت یک سری از عادات ارائه می‌دهد؛ رها شدن شخص از یک سری از تعلقات و بی‌نیاز شدن از وابستگی‌ها.",مدیریت و کسب و کار
چتر تابستان,"«چتر تابستان» نوشته لیزا گراف(-۱۹۷۴) نویسنده آمریکایی است.
آنی ریچاردز می‌داند که هزاران چیز وجود دارد که باید مراقبشان باشد- تصادف با دوچرخه، آبله مرغون، حیواناتی که در باغ وحش از قفس‌هایشان فرار می‌کنند. برای همین است که مراقب بودن این اندازه مهم هست، حتی اگر به قیمت کنار گذاشتن چیزهایی که دوست دارد تمام شود؛ مثلا مسابقه دوچرخه‌سواری با دوستان، یا خوردن هات داگ. همه سعی می‌کنند به آنی بگویند که این اندازه مراقب نباشد و او اوضاعش مرتب است. اما آنها فکر می‌کردند که برادرش جرارد نیز اوضاعش مرتب بود اما او مرد.
با ورود همسایه جدید است که آنی می‌فهمد مراقبت‌های او آن اندازه‌ها هم که او فکر می‌کند موفق نیستند. شاید او بتواند به آنی کمک کتر که چتر غم‌هایش را ببندد...
در بخشی از کتاب می‌خوانیم:
وقتی روی تپهٔ کاج، وسط سرازیری، درست همان نقطه‌ای که از کنار صندوق پستی آقای نورمور می‌گذرد، ترمز دوچرخه‌ات را خلاص کنی، می‌توانی بدون رکاب زدن و کوچک‌ترین درگیری چرخ‌ها، با یک حرکت تا جلو فروشگاه لیپی سُر بخوری. این سریع‌ترین و لذت‌بخش‌ترین راهِ رسیدن به آنجاست. باد توی گوش‌هات سوت می‌کشد و شکمت قلقلک می‌آید، انگار روی هوا شناوری؛ فکر می‌کنی از یک موشک هم سریع‌تری.
ولی من دیگر این کار را نمی‌کنم.
درست بالای تپه پیاده شدم و دوچرخه‌ام را کنار خودم تا درِ فروشگاه کشیدم؛ این روش تقریباً پنج برابر روش قبلی که گفتم طول کشید ولی مطمئن‌تر و ایمن‌تر بود.
ساعت هفت و پنجاه و هشت دقیقه جلو در فروشگاه بودم؛‌ ساعت درونی‌ام این را می‌گفت. در فروشگاه هنوز قفل بود. آقای لیپویتز و پسرش تامی، آن کنار مشغول جابه‌جا کردن جعبه‌ها بودند. آقای ""ل"" مرا که انگشت‌هایم را بالا برده بودم و از شیشه توی فروشگاه را نگاه می‌کردم، دید. برای گذراندن این دو دقیقه سعی کردم ترمز دوچرخه‌ام را تنظیم کنم که سرعتش به کمترین حد برسد.",داستان کودک و نوجوانان
هواخواه,"«هواخواه» نوشته ویت تان نِوین(   -۱۹۷۱)، نویسنده آمریکایی ویتنامی‌تبار و استاد زبان انگلیسی و مطالعات قومی در دانشگاه کارولینای جنوبی است. این کتاب که نخستین اثر اوست، در سال ۲۰۱۶ جایزه بهترین رمان تخیلی، جایزه ادگار، جایزه سنتر و مدال کارنیج برای برای رمان برتر را از انجمن کتابخانه آمریکا و جایزه آسیایی آمریکایی در ادبیات داستانی را دریافت کرد.

در بریده‌ای از کتاب می‌خوانیم:

«سخت‌ترین چیز درباره‌ی صحبت کردن با یک زن، برداشتن قدم اول است، ولی مهم‌ترین نکته این است که فکر نکنید. فکر نکردن سخت‌تر از چیزی است که به نظر می‌رسد، با این‌حال درباره‌ی زنان، انسان هرگز نباید فکر کند. هرگز. اما این به‌راحتی جواب نمی‌دهد. دفعات اولی که در دوران دبیرستان به دختران نزدیک شدم، زیادی فکر کردم، مکث کردم و در نتیجه دوباره و دوباره شکست خوردم. 

ولی در نهایت متوجه شدم که تمام زورگویی‌های دوران کودکی که نسبت به من شده بود، مرا قوی کرده و باعث شده باور کنم که رد شدن، بهتر از نداشتن هیچ‌گونه شانسی برای کلاً رد شدن است. در نتیجه این‌طور شده بود که من حالا، در حین نزدیک‌شدن به زنان، با چنان شهودی با تمام شبهات و ترس‌ها مذاکره می‌کردم، که خود بودا هم کارم را تأیید می‌کرد. کنار لانا نشستم و به هیچ‌چیز فکر نکردم، من تنها غریزه‌ام و سه اصل اولیه‌ام برای صحبت کردن با یک زن را دنبال کردم: اجازه نگیر؛ سلام نکن؛ و نگذار که اول او صحبت کند.»",رمان
